!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:01:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
1346600000,15.185923,-126.99178
1356500000,15.111204,-128.97546
1366400000,15.020573,-130.79108
1376300000,14.927463,-132.51492
1386200000,14.8904,-134.56448
1396100000,14.83266,-136.42148
1406000000,14.753033,-138.38951
1415900000,14.662413,-140.16341
1425800000,14.587353,-142.02995
1435700000,14.518224,-143.82968
1445600000,14.452214,-145.85826
1455500000,14.360817,-147.59889
1465400000,14.304347,-149.634
1475300000,14.240068,-151.49338
1485200000,14.168124,-153.19067
1495100000,14.103521,-155.10489
1505000000,14.025033,-157.00366
1514900000,13.948599,-158.90793
1524800000,13.875343,-160.85008
1534700000,13.794338,-162.62968
1544600000,13.730559,-164.39117
1554500000,13.653702,-166.41339
1564400000,13.577365,-168.23367
1574300000,13.502229,-170.16331
1584200000,13.442384,-172.0495
1594100000,13.349472,-174.00342
1604000000,13.235709,-175.76396
1613900000,13.132457,-177.73242
1623800000,13.05722,-179.21091
1633700000,13.018933,179.14954
1643600000,12.941882,177.18243
1653500000,12.894598,175.33163
1663400000,12.816859,173.49461
1673300000,12.727018,171.73833
1683200000,12.686937,169.89873
1693100000,12.589748,167.97275
1703000000,12.539899,166.16747
1712900000,12.4678,164.46042
1722800000,12.397538,162.64214
1732700000,12.315704,160.75613
1742600000,12.251889,158.95958
1752500000,12.192672,157.16069
1762400000,12.096315,155.23697
1772300000,12.04615,153.77391
1782200000,11.968983,151.91888
1792100000,11.873609,150.07228
1802000000,11.829058,148.25629
1811900000,11.755983,146.36234
1821800000,11.703941,144.59918
1831700000,11.617562,142.72171
1841600000,11.53542,141.09337
1851500000,11.47169,139.23259
1861400000,11.398214,137.50151
1871300000,11.354896,135.67342
1881200000,11.265174,133.86595
1891100000,11.193492,132.08371
1901000000,11.134631,130.30022
1910900000,11.058915,128.49585
1920800000,10.981836,126.82172
1930700000,10.911392,124.85713
1940600000,10.852045,123.17706
1950500000,10.769817,121.29341
1960400000,10.705829,119.45212
1970300000,10.622353,117.61391
1980200000,10.552981,116.0911
1990100000,10.482017,114.29368
2000000000,10.404363,112.36753
END

